,T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
0,2083.6467292005136,455.9762314989675,515.4513921292676,654.2267669333012,2260.0561039514037,2236.7565564879874,1828.9157489821664,1967.3880148948756,0.0,1.0,66.0,90.0,2062.1658350850444
1,2062.1658350850444,2083.6467292005136,455.9762314989675,515.4513921292676,2260.0561039514037,2236.7565564879874,1828.9157489821664,1967.3880148948756,0.0,1.0,66.0,90.0,2062.1658350850444
2,2062.1658350850444,2062.1658350850444,2083.6467292005136,455.9762314989675,2260.0561039514037,2354.4805857768292,1828.9157489821664,1967.3880148948756,0.0,1.0,66.0,90.0,2062.1658350850444
3,2062.1658350850444,2062.1658350850444,2062.1658350850444,2083.6467292005136,2555.4157999628937,2511.445958161951,1892.2655072689984,2442.6073308659334,0.0,1.0,80.0,40.0,2294.620909867248
4,2294.620909867248,2062.1658350850444,2062.1658350850444,2062.1658350850444,2845.3992102676903,2805.756031384054,2532.3448832060767,2756.205521881124,0.0,1.0,80.0,40.0,2710.645657438832
5,2710.645657438832,2294.620909867248,2062.1658350850444,2062.1658350850444,3072.043254590501,3212.4692738141475,3012.1575979188074,3203.1577686726573,0.0,1.0,80.0,40.0,3178.548790798719
6,3178.548790798719,2710.645657438832,2294.620909867248,2062.1658350850444,4872.258921691251,4494.131445789274,4030.5255304829666,4168.561319592168,0.0,1.0,83.0,32.0,4321.536046916651
7,4321.536046916651,3178.548790798719,2710.645657438832,2294.620909867248,5106.127349932431,5497.1135710297995,4778.546312747738,5102.704817536675,0.0,1.0,83.0,32.0,5136.9578543071575
8,5136.9578543071575,4321.536046916651,3178.548790798719,2710.645657438832,5106.127349932431,4997.950384694909,4797.13987816699,5214.442879234559,0.0,1.0,83.0,32.0,5383.380186801597
9,5383.380186801597,5136.9578543071575,4321.536046916651,3178.548790798719,5242.550599739786,5288.602366611428,4871.514139843997,4856.947592552343,0.0,1.0,81.0,38.0,4706.3007415132315
10,4706.3007415132315,5383.380186801597,5136.9578543071575,4321.536046916651,4956.263385858342,5155.913418345191,4919.8903188993945,4856.947592552343,0.0,1.0,81.0,38.0,4879.893801651014
11,4879.893801651014,4706.3007415132315,5383.380186801597,5136.9578543071575,4462.149127627516,5174.868982383225,4886.3231742487105,4646.607342481178,0.0,1.0,81.0,38.0,4802.741330478667
12,4802.741330478667,4879.893801651014,4706.3007415132315,5383.380186801597,4324.5498153218205,4983.650573227621,4327.36439788412,4455.555210203101,0.0,1.0,72.0,69.0,4688.509115617883
13,4688.509115617883,4802.741330478667,4879.893801651014,4706.3007415132315,4022.133744320295,4983.650573227621,4294.6199773670305,4198.823711302011,0.0,1.0,72.0,69.0,4552.328352923588
14,4552.328352923588,4688.509115617883,4802.741330478667,4879.893801651014,4213.663922621262,4748.202514649938,4273.887329200431,4022.2376673687495,0.0,1.0,72.0,69.0,4552.328352923588
15,4552.328352923588,4552.328352923588,4688.509115617883,4802.741330478667,4252.641993994791,4283.29236508553,4004.3629030346383,4182.694854181929,0.0,1.0,71.0,78.0,4375.409755235274
16,4375.409755235274,4552.328352923588,4552.328352923588,4688.509115617883,4138.731940584217,3461.0532057164332,3720.3585321175697,3709.637137618718,0.0,1.0,71.0,78.0,3988.1509074757932
17,3988.1509074757932,4375.409755235274,4552.328352923588,4552.328352923588,818.5394988441301,829.3890651027416,885.5802574018911,855.9933655069996,0.0,1.0,71.0,78.0,790.8128295165676
18,790.8128295165676,3988.1509074757932,4375.409755235274,4552.328352923588,818.5394988441301,836.5389708363859,834.9004507724259,824.0682050218901,0.0,1.0,65.0,88.0,829.3890651027416
19,829.3890651027416,790.8128295165676,3988.1509074757932,4375.409755235274,812.827195280768,758.7213921539313,776.6515821138845,765.2061903774694,0.0,1.0,65.0,88.0,790.8128295165676
20,790.8128295165676,829.3890651027416,790.8128295165676,3988.1509074757932,654.2267669333012,680.9038134714768,660.1538447968018,588.6201464442073,0.0,1.0,65.0,88.0,622.540629459636
21,622.540629459636,790.8128295165676,829.3890651027416,790.8128295165676,515.4513921292676,568.999474896067,504.82352837402493,490.516788703506,0.0,1.0,69.0,85.0,505.8142614359543
22,505.8142614359543,622.540629459636,790.8128295165676,829.3890651027416,455.9762314989675,431.6547740590853,446.5746597154841,431.6547740590853,0.0,1.0,69.0,85.0,505.8142614359543
23,505.8142614359543,505.8142614359543,622.540629459636,790.8128295165676,2083.6467292005136,431.6547740590853,2175.940788532631,412.03410251094505,0.0,1.0,69.0,85.0,2044.5404860672234
24,2044.5404860672234,505.8142614359543,505.8142614359543,622.540629459636,2062.1658350850444,2260.0561039514037,2236.7565564879874,1828.9157489821664,0.0,1.0,73.0,86.0,2001.9458926074897
25,2001.9458926074897,2044.5404860672234,505.8142614359543,505.8142614359543,2062.1658350850444,2260.0561039514037,2236.7565564879874,1828.9157489821664,0.0,1.0,73.0,86.0,2001.9458926074897
26,2001.9458926074897,2001.9458926074897,2044.5404860672234,505.8142614359543,2062.1658350850444,2260.0561039514037,2354.4805857768292,1828.9157489821664,0.0,1.0,73.0,86.0,2001.9458926074897
27,2001.9458926074897,2001.9458926074897,2001.9458926074897,2044.5404860672234,2294.620909867248,2555.4157999628937,2511.445958161951,1892.2655072689984,0.0,1.0,80.0,56.0,2171.596805107246
28,2171.596805107246,2001.9458926074897,2001.9458926074897,2001.9458926074897,2710.645657438832,2845.3992102676903,2805.756031384054,2532.3448832060767,0.0,1.0,80.0,56.0,2512.038319538139
29,2512.038319538139,2171.596805107246,2001.9458926074897,2001.9458926074897,3178.548790798719,3072.043254590501,3212.4692738141475,3012.1575979188074,0.0,1.0,80.0,56.0,3421.9989241073704
30,3421.9989241073704,2512.038319538139,2171.596805107246,2001.9458926074897,4321.536046916651,4872.258921691251,4494.131445789274,4030.5255304829666,0.0,1.0,81.0,55.0,4473.118205391849
31,4473.118205391849,3421.9989241073704,2512.038319538139,2171.596805107246,5136.9578543071575,5106.127349932431,5497.1135710297995,4778.546312747738,0.0,1.0,81.0,55.0,5029.937899009092
32,5029.937899009092,4473.118205391849,3421.9989241073704,2512.038319538139,5383.380186801597,5106.127349932431,4997.950384694909,4797.13987816699,0.0,1.0,81.0,55.0,5122.741181278631
