,X1,X2,X3,X4,X5,X6,X7
0,0.22299378,0.19802275,0.29786643,0.0,0.2246642,0.15275137,0.24172299
1,0.13947672,1.0054979,3.3381104,0.0,2.991568,2.605868,0.3338222
2,1.0802239,1.6418593,2.304812,0.0,1.3788102,1.6953948,0.0
3,0.0,0.47415242,2.205912,0.0,2.079064,1.438849,0.49714112
4,0.16934031,0.9364588,2.9767408,0.0,2.6475873,2.3041115,0.3139156
5,0.0,0.20501718,2.5282078,0.0,2.7012448,1.7689216,0.6198802
6,0.53964865,1.124908,1.779538,0.0,1.2019956,1.0227528,0.21228495
7,0.26438802,0.5217266,1.2913209,0.0,1.1275837,1.0333118,0.21372406
8,0.0,0.0,0.60015666,0.0,0.68294233,0.34311378,0.38848582
9,0.0,0.15084764,2.7410724,0.0,2.9747963,1.9696133,0.6575667
10,0.11721158,0.6662044,2.0842683,0.0,1.864512,1.5201997,0.33179933
11,0.0,0.25107744,1.8730892,0.0,1.9566653,1.4086539,0.43496406
12,0.32270503,0.61686414,1.1503813,0.0,0.89688,0.7595042,0.22427142
13,0.1495558,1.027953,3.3325803,0.0,2.9761453,2.5881999,0.33192524
14,0.0,0.21123073,2.7635508,0.0,2.9492142,1.9902887,0.6344229
15,0.0024556816,0.10794464,0.6865947,0.0,0.7204729,0.45585558,0.33997586
16,0.6981293,1.5287015,3.0938184,0.0,2.3004382,2.2291508,0.15678698
17,0.32040218,0.6976141,1.4947582,0.0,1.2285452,1.0882344,0.21828455
18,0.40096092,0.97172886,2.3270662,0.0,1.9563586,1.8609582,0.17805064
19,0.0,0.45376554,1.7388039,0.0,1.6297967,1.2058476,0.37934867
20,0.51693773,1.0126299,2.2746503,0.0,1.8870853,1.9536393,0.09766595
21,0.35086584,0.6947183,1.3145515,0.0,1.0803614,0.98243177,0.17856205
22,0.6137377,1.3703215,3.3717914,0.0,2.7751365,2.838947,0.09804425
23,0.44841266,0.928475,1.9901413,0.0,1.672545,1.6638194,0.119724035
24,0.043802187,0.006092567,0.33352706,0.0,0.38216454,0.20407072,0.31555405
25,0.0,0.05387387,2.580098,0.0,2.8660498,1.8573114,0.66584444
26,0.33540905,0.6548625,1.308098,0.0,1.1051706,1.023843,0.17264578
27,0.4794218,0.9949435,2.5781164,0.0,2.154602,2.1902044,0.13877514
28,0.35145232,0.7645255,1.5931612,0.0,1.3359892,1.2319072,0.18107244
29,0.6013154,1.4597654,3.8526242,0.0,3.2226706,3.2687633,0.107445836
30,0.5018539,1.1022286,2.7868104,0.0,2.312891,2.3240664,0.1408445
31,0.0,0.24451146,2.7034066,0.0,2.8589487,1.9052031,0.6303486
32,0.01984287,0.23978522,0.9268763,0.0,0.89722043,0.5780515,0.35105866
33,0.0,0.6346326,3.7671552,0.0,3.7299304,2.827486,0.5884365
34,0.0,0.020785723,1.0816199,0.0,1.2606622,0.6600642,0.46326035
35,0.0,0.19116208,2.6899476,0.0,2.8867679,1.9409522,0.627565
36,0.80547607,1.5512074,2.7799554,0.0,1.9118898,1.9189987,0.13234258
37,0.30398816,0.75588036,1.4737238,0.0,1.1486986,0.8936584,0.2642374
38,0.0,0.37932488,3.3090057,0.0,3.4246602,2.4300652,0.6414801
39,0.11972549,0.1776016,0.44759595,0.0,0.4246514,0.24343623,0.28777957
40,0.0,0.24585578,3.0738735,0.0,3.2668195,2.2046165,0.6798013
41,0.109839275,0.17178228,0.4702092,0.0,0.4351156,0.23518215,0.30261794
42,0.33300814,0.2781884,0.15090694,0.0,0.019895695,0.024939643,0.19113377
43,0.04070945,0.2719455,0.9746487,0.0,0.9219804,0.6120505,0.3457552
44,0.47696117,0.98543286,2.1628263,0.0,1.7702515,1.755812,0.13599622
45,0.30487677,0.5487193,1.0428213,0.0,0.8253265,0.702998,0.22186401
46,0.34388795,0.6289968,1.3698782,0.0,1.135004,1.0743881,0.18550819
47,0.0,0.013953481,1.2065582,0.0,1.3979754,0.7432187,0.49052858
48,0.0,0.6219803,3.1118536,0.0,3.021731,2.2688158,0.51921
49,0.34519824,0.622106,1.0864147,0.0,0.90219265,0.833382,0.16261815
50,0.11756821,0.13449585,0.39651254,0.0,0.37167734,0.20376422,0.29473013
51,0.0,0.38452312,3.285367,0.0,3.409473,2.428403,0.62741494
52,0.0732066,0.050671104,0.35449865,0.0,0.38173574,0.21688448,0.30288073
53,0.6072763,1.3041241,2.964572,0.0,2.3601851,2.3949828,0.13311785
54,0.0,0.3428944,3.3475661,0.0,3.522138,2.4822662,0.651183
55,0.28256363,1.0360522,2.8570466,0.0,2.419156,2.141222,0.30209625
56,0.0,0.6451758,3.9903464,0.0,3.9650865,3.0329955,0.6027198
57,0.39111137,0.45375124,0.26446643,0.0,0.046925604,0.0056602163,0.1873518
58,0.4867792,1.1238688,2.8053198,0.0,2.3640318,2.3635833,0.1317614
59,0.52593476,1.1400994,2.6380243,0.0,2.1816573,2.1986573,0.114322394
60,0.6117881,1.483847,3.8834643,0.0,3.2436976,3.292943,0.10353491
61,0.54872817,1.324417,3.4646947,0.0,2.9118733,2.934981,0.12065789
62,0.42232603,0.9241183,2.2837424,0.0,1.9533927,1.9453012,0.13914678
63,0.3965505,0.8684412,2.0620553,0.0,1.7230234,1.6548,0.17357114
64,0.2503963,0.89237905,2.5863588,0.0,2.2476387,2.0044563,0.27306733
65,0.37951332,0.5213001,0.8817096,0.0,0.7000938,0.7217194,0.14599386
66,0.36502743,0.5929811,0.6870043,0.0,0.44829896,0.33282736,0.19986394
67,0.0,0.056349788,1.0293096,0.0,1.1217322,0.54821813,0.49001443
68,0.0,0.19099745,1.6359874,0.0,1.7064719,1.0226434,0.5184002
69,0.16253763,1.0790313,3.1273026,0.0,2.7580183,2.3223953,0.3370484
70,0.5607069,1.2842679,3.0723317,0.0,2.5684922,2.5927513,0.09134561
71,0.0,0.6043987,3.192675,0.0,3.1028767,2.2630193,0.57183033
72,0.0,0.019900713,0.5205069,0.0,0.5896873,0.31261212,0.35483927
73,0.0,0.09830102,2.6839666,0.0,2.9428515,1.9141012,0.6748562
74,0.0,0.050696585,1.1587225,0.0,1.2934277,0.67936754,0.4940075
75,0.1569404,0.9834535,2.5634966,0.0,2.1463628,1.6166563,0.39067003
76,0.031096682,0.076551616,0.5372375,0.0,0.5702648,0.34991068,0.32475305
77,0.08182615,0.8290136,2.8491912,0.0,2.581613,2.170309,0.35412005
78,0.1784351,0.4489469,0.83847517,0.0,0.6795657,0.40306368,0.29845554
79,0.35888094,0.73693466,1.5887601,0.0,1.3451838,1.2807506,0.1683413
80,0.09614238,0.30651435,0.6940974,0.0,0.6221051,0.32346863,0.32079297
81,0.0,0.62641335,1.8370239,0.0,1.6456654,0.9823015,0.45907873
82,0.090917625,0.174197,0.64042884,0.0,0.6165473,0.42065778,0.30518937
83,0.32577682,0.913751,2.6154594,0.0,2.2779264,2.1534123,0.20716459
84,0.0044959188,0.16792294,0.83589745,0.0,0.84132737,0.54963213,0.34835714
